wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0x94a96cb70cC7a7Cde93BbDEc48030F6498d9f275,13.371038335,0.000004252,0,0.638888888,0,0.906919821,0,0,0,0,14.916851296
0x23F66A4d6353A8f70202e95A793988F0Fb8C1C9B,110.774474651,0.000046034,21.558880313,0,0,0,0,0,1.06368247543287e-11,0,132.33340099801063
0x872500bA427357ab3F6682Cbcd06E9115D3d3EeD,0,0,0,0,0,0,0,0,0,0,0
0xF4F603F47CB5A1e6aa87e2BEAef5F83120C318fC,0,0.00001123,110.738163928,0,0,0,0,0,0,0,110.738175158
0xe8A43a5041F3AFf721F3F73C79599877cFC5c4ec,3.332235109,0,0,0,0,0,0,0,0,0,3.332235109
0xb2C35ec9Ec1dB3A258F1d7E17ae212E1573e1884,0,0,0,0,0,0,0,0,0,0,0
0x25D6BD96054dDc97051166fe12D51Ae70E8975Cb,46.126005668,1.117854908,0,0,0,0,0,0,0,2.1799806404487754e-10,47.243860576218
0xdBd2F1D1974d051E2d77d962689482B07b61087F,0,0,23.293888443,8.837275453,0,0,0,0,0,0,32.131163896000004
0x8513df0298B18cf68D92Ad0B1A19921dF8bA30b7,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x8108f6E507b23070ea0AA38ce767E89028aF0deD,3.986610758,0.00003025,0,0.714285714,0,0,0,0,0,0,4.700926722
0x1D4Ce660e3bdbAaEE5dD05098a1295CBd2174696,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x1FEAd8D33F0c6eDb9e70EE006a1Da310f3bBe437,187.859682624,69.177243543,0,0,0,8.039769111,0,0,0,0,265.076695278
0x9cA37091d362130eba3De6730e47613E5b00b0B4,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x8918c188E26FEC85A7E86c46Db060560cCBB6600,8.281845887,0.000098658,2.653026041,0,0,0,0,0,0,0,10.934970586
0xF560E6D729e1956f23eb8010ef9F58C3712da64D,94.025637074,4.031378075,0,0.010508784,0,0,0,0,0,0,98.067523933
0x008fE987BAE695DA3587d2fdaf0787D4CA58d2C9,0,0,0,0,0,0.04501706,0,0,0,0,0.04501706
0x473E113e27bc3faB2aA1BA1357cc641bB282Fb57,0,0,2.663917166,0,0,0,0,0,0,0,2.663917166
0x1875E5BE85125bF582d2568d79819febf3372f59,0,0,0,0,0,0,0,0,0,0,0
0x849B23D0720a7fB9012Ca50Db6CF4313317E61A2,82.389635538,0.000093082,0,0,0,0,0,0,0,0,82.38972862
0x8aa477c75C1937aDBcC638726cA2dE30bbb519b0,31.066006273,0,0,0,0,0,0,0,0,0,31.066006273
0xbA2B1CbFF5e467670072Eb02cB179ccECB5e02A5,50.00001388,6.242816229,0,0.129282423,0,0,0,0,0,0,56.372112531999996
0xC0815851aF75AE43A01f20701B00b8e2ad6eDa79,0,0,0,0,0,0,0,0,0,0,0
0xa0DC923A5CeEFEb4A792eE8d1F6649A6B44ce695,0,0,0,0,0,0,0,0,0,0,0
0xc0B72591E1cA21EF06d6f67D776dcE556442833a,0,0.000070392,308.3573,0,0,0,0,0,0,0,308.357370392
0x1CFa3036c068091a867f22e0CA69Da5b3b64f9fC,0,0,0,0,0,0,0,0,0,0,0
0x77265A6575a23b57844fEc607cCa4d54523FEF55,0,0,0,0,0,0,0,0,0,0,0
0x3Fd251f95481DCCe379D2CFEeFAc970186d0265b,0,0.000039928,15.2958717,0,0,0,0,0,0,0,15.295911627999999
0xD3F335F9495d6e907eF81F5CdecAb301C6eada73,37.40551407,0.00000946,3.199237751,0,0,0,0,0,0,0,40.604761281
0x1c083639b81436EBadE9409B5d9A7795F489477d,11.499833704,0.000016938,5.38023733,0,0,0,0,0,0,0,16.880087972000002
0x18DB23D538A7b6778539D1a071014ae0f24640d2,0,0,2.638341218,0,0,0,0,0,0,3.3799807397372206e-10,2.638341218337998
0x669ECDf6D50A140e6abDaEb62e5945334a9EDD58,6.331029215,0.000069399,0,0,0,0,0,0,0,0,6.331098614
0xFcB1F42F018c91aAaB2Df25158Ffd6b26E459122,2.895928754,0,0,0.00025794,0,0,0,0,0,0,2.896186694
0xb473b11Ff3cFe6981970e257c208695fa3D2AcC8,0,0,0,1.001046444,0,0,0,0,0,0,1.001046444
0xcA9b0b52ab193aCBEEeb8Bd62718d586364459d6,1e-9,0,0,0.02761865,0,0,0,0,0,0,0.027618651
0x1261aB28dc053DCc82FA1e4191e1A597082729d3,0,0,0,1.225078976,0,0,0,0,0,0,1.225078976
0xa6A0f47eFD23c01c66bfd869EB78d4a65b85Ead4,0,0,0,0,0,0,0,0,0,0,0
0xAcE919f30Df1A9Ea2d72C0b3e0f7948De23FED47,1.417179422,0.000034065,0.817053976,0,0,0,0,0,0,0,2.2342674629999997
0x71807269E925C25452c219e5a411E13E64005cFC,333.120483567,0.000015225,0,0,0,0.201889974,0,0,0,0,333.322388766
0x19496a34e64371A87e623b1B889C9EA4C1577bF4,0,0,0,17.83285671,0,0,0,0,0,0,17.83285671
0xa7b37AA3172364D9AA344f1E7447D74c5fD87DbE,12.38785415,0.000062106,0,0,0,0,0,0,0,0,12.387916256
0x882E08d2Ed4c2493C1Ffa31d9cFd5dcd65E5d6Ce,10.374555919,0,0,1.039924346,0,0,0,0,0,0,11.414480265
0x330AD0d38e9c12cbC34d7cfFEFCd99E5530b6bfb,19.176652357,0,0,0,0,0,0,0,0,0,19.176652357
0xD73c5d65f32f2a90C3a137bD57e294B53d3A2074,0,0,0,0,0,0,0,0,0,0,0
0x89eC755176eD10aB277f6A1D25EFCAF47046ad4d,3.924799277,0,0,0,0,0,0,0,0,0,3.924799277
0x236A5E2173444c51b83CdD80EB72B80C4903c552,7.417640261,0.000042858,30.892084813,0,0,0,0,0,0,0,38.309767932
0x8Ff2EA0d3BcBD25E5aB22bbf3dF34913330C0C18,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0xe30e336Dd2D98d8B07Fedb26fE9357be25Eca118,0,0,0,0,0,0,0,0,0,0,0
0x5C7d62543Ba2f058A2d9D4e295a0012e27851865,10.70037035,0,0,0,0,0,0,0,0,0,10.70037035
0x05590A03F9Ea64Bb732720E301eE2460987E1A88,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x532f79A0cC69e4485F55E3f32f871F9A5F3FaAc6,0,0,0,0,0,0,0,0,0,0,0
0x34CDC650532f040d015cDDa07C8AbbF38afAC5F5,89.21372508,1.361652555,10.025270034,3.462191491,0.092278672,0,0,0,0,0,104.15511783200002
0x15CE0FE5fB3757524EACbc838791D35F25e768ef,0,0,0,0,0,0,0,0,0,0,0
